bedrooms,bathrooms,house_size,price
4.0,3.0,926.0,224995.0
4.0,2.0,926.0,145000.0
4.0,2.0,926.0,60000.0
4.0,2.0,926.0,145000.0
4.0,3.0,926.0,845000.0
4.0,2.0,926.0,79000.0
4.0,2.0,926.0,215000.0
4.0,2.0,926.0,223000.0
4.0,4.0,926.0,1200000.0
4.0,3.0,926.0,585000.0
4.0,3.0,926.0,975000.0
4.0,3.0,926.0,450000.0
4.0,2.0,926.0,575000.0
4.0,2.0,926.0,388000.0
4.0,2.0,926.0,499000.0
4.0,4.0,926.0,799900.0
4.0,3.0,926.0,174900.0
4.0,3.0,926.0,188000.0
4.0,2.0,926.0,150000.0
4.0,2.0,926.0,145000.0
4.0,2.0,926.0,60000.0
4.0,2.0,926.0,145000.0
4.0,3.0,926.0,845000.0
4.0,2.0,926.0,215000.0
4.0,4.0,926.0,1200000.0
4.0,2.0,926.0,223000.0
4.0,3.0,926.0,585000.0
4.0,3.0,926.0,975000.0
4.0,2.0,926.0,575000.0
4.0,2.0,926.0,499000.0
4.0,4.0,926.0,799900.0
4.0,3.0,926.0,174900.0
4.0,2.0,926.0,150000.0
4.0,3.0,926.0,188000.0
4.0,3.0,926.0,224995.0
4.0,2.0,926.0,145000.0
4.0,2.0,926.0,60000.0
4.0,2.0,926.0,145000.0
4.0,3.0,926.0,845000.0
4.0,2.0,926.0,79000.0
4.0,2.0,926.0,215000.0
4.0,2.0,926.0,223000.0
4.0,3.0,926.0,585000.0
4.0,4.0,926.0,1200000.0
4.0,3.0,926.0,975000.0
4.0,3.0,926.0,450000.0
4.0,2.0,926.0,575000.0
4.0,2.0,926.0,388000.0
4.0,2.0,926.0,499000.0
4.0,4.0,926.0,799900.0
4.0,3.0,926.0,174900.0
4.0,2.0,926.0,150000.0
4.0,3.0,926.0,188000.0
4.0,2.0,926.0,145000.0
4.0,2.0,926.0,60000.0
4.0,2.0,926.0,145000.0
4.0,3.0,926.0,845000.0
4.0,2.0,926.0,79000.0
4.0,2.0,926.0,215000.0
4.0,4.0,926.0,1200000.0
4.0,2.0,926.0,223000.0
4.0,3.0,926.0,585000.0
4.0,3.0,926.0,975000.0
4.0,2.0,926.0,388000.0
4.0,3.0,926.0,450000.0
4.0,2.0,926.0,499000.0
4.0,2.0,926.0,575000.0
4.0,4.0,926.0,799900.0
4.0,3.0,926.0,174900.0
4.0,2.0,926.0,150000.0
4.0,3.0,926.0,188000.0
4.0,3.0,926.0,224995.0
4.0,2.0,926.0,145000.0
4.0,3.0,926.0,224995.0
4.0,2.0,926.0,145000.0
4.0,3.0,926.0,224995.0
4.0,2.0,926.0,60000.0
4.0,2.0,926.0,145000.0
4.0,3.0,926.0,845000.0
4.0,2.0,926.0,79000.0
4.0,2.0,926.0,215000.0
4.0,4.0,926.0,1200000.0
4.0,2.0,926.0,223000.0
4.0,3.0,926.0,585000.0
4.0,3.0,926.0,975000.0
4.0,2.0,926.0,499000.0
4.0,2.0,926.0,575000.0
4.0,3.0,926.0,174900.0
4.0,2.0,926.0,150000.0
4.0,3.0,926.0,188000.0
4.0,4.0,926.0,799900.0
4.0,2.0,926.0,145000.0
